image,image_path,label
00018_00023_00028,data\gtsrb\Train\18\00018_00023_00028.png,18
00001_00009_00004,data\gtsrb\Train\1\00001_00009_00004.png,1
00008_00006_00023,data\gtsrb\Train\8\00008_00006_00023.png,8
00008_00043_00013,data\gtsrb\Train\8\00008_00043_00013.png,8
00018_00003_00028,data\gtsrb\Train\18\00018_00003_00028.png,18
00005_00011_00028,data\gtsrb\Train\5\00005_00011_00028.png,5
00007_00011_00017,data\gtsrb\Train\7\00007_00011_00017.png,7
00042_00005_00001,data\gtsrb\Train\42\00042_00005_00001.png,42
00011_00032_00027,data\gtsrb\Train\11\00011_00032_00027.png,11
00012_00017_00002,data\gtsrb\Train\12\00012_00017_00002.png,12
00012_00059_00021,data\gtsrb\Train\12\00012_00059_00021.png,12
00002_00023_00023,data\gtsrb\Train\2\00002_00023_00023.png,2
00013_00008_00020,data\gtsrb\Train\13\00013_00008_00020.png,13
00023_00014_00013,data\gtsrb\Train\23\00023_00014_00013.png,23
00013_00061_00013,data\gtsrb\Train\13\00013_00061_00013.png,13
00014_00001_00020,data\gtsrb\Train\14\00014_00001_00020.png,14
00007_00024_00003,data\gtsrb\Train\7\00007_00024_00003.png,7
00031_00002_00022,data\gtsrb\Train\31\00031_00002_00022.png,31
00037_00005_00008,data\gtsrb\Train\37\00037_00005_00008.png,37
00032_00002_00001,data\gtsrb\Train\32\00032_00002_00001.png,32
00031_00012_00005,data\gtsrb\Train\31\00031_00012_00005.png,31
00010_00020_00018,data\gtsrb\Train\10\00010_00020_00018.png,10
00010_00003_00017,data\gtsrb\Train\10\00010_00003_00017.png,10
00001_00071_00006,data\gtsrb\Train\1\00001_00071_00006.png,1
00011_00013_00026,data\gtsrb\Train\11\00011_00013_00026.png,11
00008_00000_00029,data\gtsrb\Train\8\00008_00000_00029.png,8
00013_00018_00025,data\gtsrb\Train\13\00013_00018_00025.png,13
00015_00012_00004,data\gtsrb\Train\15\00015_00012_00004.png,15
00013_00055_00018,data\gtsrb\Train\13\00013_00055_00018.png,13
00030_00011_00010,data\gtsrb\Train\30\00030_00011_00010.png,30
00005_00010_00021,data\gtsrb\Train\5\00005_00010_00021.png,5
00038_00013_00022,data\gtsrb\Train\38\00038_00013_00022.png,38
00002_00034_00012,data\gtsrb\Train\2\00002_00034_00012.png,2
00011_00007_00005,data\gtsrb\Train\11\00011_00007_00005.png,11
00023_00003_00025,data\gtsrb\Train\23\00023_00003_00025.png,23
00025_00017_00019,data\gtsrb\Train\25\00025_00017_00019.png,25
00030_00000_00027,data\gtsrb\Train\30\00030_00000_00027.png,30
00011_00019_00017,data\gtsrb\Train\11\00011_00019_00017.png,11
00009_00030_00024,data\gtsrb\Train\9\00009_00030_00024.png,9
00025_00041_00008,data\gtsrb\Train\25\00025_00041_00008.png,25
00031_00023_00017,data\gtsrb\Train\31\00031_00023_00017.png,31
00033_00010_00029,data\gtsrb\Train\33\00033_00010_00029.png,33
00002_00070_00021,data\gtsrb\Train\2\00002_00070_00021.png,2
00025_00014_00021,data\gtsrb\Train\25\00025_00014_00021.png,25
00027_00003_00005,data\gtsrb\Train\27\00027_00003_00005.png,27
00038_00005_00017,data\gtsrb\Train\38\00038_00005_00017.png,38
00009_00001_00026,data\gtsrb\Train\9\00009_00001_00026.png,9
00033_00015_00013,data\gtsrb\Train\33\00033_00015_00013.png,33
00026_00011_00002,data\gtsrb\Train\26\00026_00011_00002.png,26
00025_00005_00001,data\gtsrb\Train\25\00025_00005_00001.png,25
00014_00000_00013,data\gtsrb\Train\14\00014_00000_00013.png,14
00013_00026_00023,data\gtsrb\Train\13\00013_00026_00023.png,13
00034_00005_00003,data\gtsrb\Train\34\00034_00005_00003.png,34
00002_00025_00003,data\gtsrb\Train\2\00002_00025_00003.png,2
00013_00009_00027,data\gtsrb\Train\13\00013_00009_00027.png,13
00007_00012_00004,data\gtsrb\Train\7\00007_00012_00004.png,7
00009_00045_00029,data\gtsrb\Train\9\00009_00045_00029.png,9
00025_00038_00022,data\gtsrb\Train\25\00025_00038_00022.png,25
00002_00034_00020,data\gtsrb\Train\2\00002_00034_00020.png,2
00002_00065_00024,data\gtsrb\Train\2\00002_00065_00024.png,2
00018_00004_00014,data\gtsrb\Train\18\00018_00004_00014.png,18
00025_00032_00019,data\gtsrb\Train\25\00025_00032_00019.png,25
00020_00008_00004,data\gtsrb\Train\20\00020_00008_00004.png,20
00001_00040_00008,data\gtsrb\Train\1\00001_00040_00008.png,1
00005_00015_00010,data\gtsrb\Train\5\00005_00015_00010.png,5
00020_00001_00005,data\gtsrb\Train\20\00020_00001_00005.png,20
00002_00066_00008,data\gtsrb\Train\2\00002_00066_00008.png,2
00030_00009_00023,data\gtsrb\Train\30\00030_00009_00023.png,30
00004_00016_00008,data\gtsrb\Train\4\00004_00016_00008.png,4
00002_00005_00018,data\gtsrb\Train\2\00002_00005_00018.png,2
00003_00013_00014,data\gtsrb\Train\3\00003_00013_00014.png,3
00008_00009_00020,data\gtsrb\Train\8\00008_00009_00020.png,8
00002_00018_00011,data\gtsrb\Train\2\00002_00018_00011.png,2
00009_00007_00028,data\gtsrb\Train\9\00009_00007_00028.png,9
00017_00007_00013,data\gtsrb\Train\17\00017_00007_00013.png,17
00013_00019_00007,data\gtsrb\Train\13\00013_00019_00007.png,13
00042_00005_00025,data\gtsrb\Train\42\00042_00005_00025.png,42
00010_00020_00013,data\gtsrb\Train\10\00010_00020_00013.png,10
00002_00016_00014,data\gtsrb\Train\2\00002_00016_00014.png,2
00017_00010_00018,data\gtsrb\Train\17\00017_00010_00018.png,17
00001_00002_00017,data\gtsrb\Train\1\00001_00002_00017.png,1
00003_00038_00020,data\gtsrb\Train\3\00003_00038_00020.png,3
00005_00028_00024,data\gtsrb\Train\5\00005_00028_00024.png,5
00028_00012_00017,data\gtsrb\Train\28\00028_00012_00017.png,28
00042_00002_00016,data\gtsrb\Train\42\00042_00002_00016.png,42
00038_00024_00022,data\gtsrb\Train\38\00038_00024_00022.png,38
00025_00025_00022,data\gtsrb\Train\25\00025_00025_00022.png,25
00004_00002_00005,data\gtsrb\Train\4\00004_00002_00005.png,4
00012_00067_00020,data\gtsrb\Train\12\00012_00067_00020.png,12
00030_00014_00023,data\gtsrb\Train\30\00030_00014_00023.png,30
00031_00001_00008,data\gtsrb\Train\31\00031_00001_00008.png,31
00001_00009_00021,data\gtsrb\Train\1\00001_00009_00021.png,1
00013_00060_00020,data\gtsrb\Train\13\00013_00060_00020.png,13
00025_00024_00001,data\gtsrb\Train\25\00025_00024_00001.png,25
00009_00038_00014,data\gtsrb\Train\9\00009_00038_00014.png,9
00024_00000_00019,data\gtsrb\Train\24\00024_00000_00019.png,24
00011_00037_00022,data\gtsrb\Train\11\00011_00037_00022.png,11
00017_00007_00029,data\gtsrb\Train\17\00017_00007_00029.png,17
00035_00010_00023,data\gtsrb\Train\35\00035_00010_00023.png,35
00012_00003_00015,data\gtsrb\Train\12\00012_00003_00015.png,12
00009_00039_00026,data\gtsrb\Train\9\00009_00039_00026.png,9
00016_00001_00027,data\gtsrb\Train\16\00016_00001_00027.png,16
00017_00002_00007,data\gtsrb\Train\17\00017_00002_00007.png,17
00007_00001_00003,data\gtsrb\Train\7\00007_00001_00003.png,7
00038_00063_00016,data\gtsrb\Train\38\00038_00063_00016.png,38
00002_00023_00006,data\gtsrb\Train\2\00002_00023_00006.png,2
00001_00018_00025,data\gtsrb\Train\1\00001_00018_00025.png,1
00003_00002_00017,data\gtsrb\Train\3\00003_00002_00017.png,3
00024_00007_00012,data\gtsrb\Train\24\00024_00007_00012.png,24
00007_00042_00021,data\gtsrb\Train\7\00007_00042_00021.png,7
00020_00001_00016,data\gtsrb\Train\20\00020_00001_00016.png,20
00007_00021_00024,data\gtsrb\Train\7\00007_00021_00024.png,7
00002_00026_00025,data\gtsrb\Train\2\00002_00026_00025.png,2
00036_00011_00008,data\gtsrb\Train\36\00036_00011_00008.png,36
00039_00003_00003,data\gtsrb\Train\39\00039_00003_00003.png,39
00017_00029_00014,data\gtsrb\Train\17\00017_00029_00014.png,17
00010_00008_00009,data\gtsrb\Train\10\00010_00008_00009.png,10
00014_00000_00020,data\gtsrb\Train\14\00014_00000_00020.png,14
00035_00035_00027,data\gtsrb\Train\35\00035_00035_00027.png,35
00008_00032_00000,data\gtsrb\Train\8\00008_00032_00000.png,8
00018_00037_00011,data\gtsrb\Train\18\00018_00037_00011.png,18
00003_00028_00023,data\gtsrb\Train\3\00003_00028_00023.png,3
00001_00018_00016,data\gtsrb\Train\1\00001_00018_00016.png,1
00031_00008_00009,data\gtsrb\Train\31\00031_00008_00009.png,31
00033_00007_00026,data\gtsrb\Train\33\00033_00007_00026.png,33
00013_00033_00001,data\gtsrb\Train\13\00013_00033_00001.png,13
00010_00048_00008,data\gtsrb\Train\10\00010_00048_00008.png,10
00027_00006_00024,data\gtsrb\Train\27\00027_00006_00024.png,27
00017_00017_00016,data\gtsrb\Train\17\00017_00017_00016.png,17
00009_00017_00001,data\gtsrb\Train\9\00009_00017_00001.png,9
00035_00025_00004,data\gtsrb\Train\35\00035_00025_00004.png,35
00011_00010_00006,data\gtsrb\Train\11\00011_00010_00006.png,11
00025_00030_00012,data\gtsrb\Train\25\00025_00030_00012.png,25
00008_00020_00014,data\gtsrb\Train\8\00008_00020_00014.png,8
00001_00039_00009,data\gtsrb\Train\1\00001_00039_00009.png,1
00002_00014_00007,data\gtsrb\Train\2\00002_00014_00007.png,2
00018_00034_00004,data\gtsrb\Train\18\00018_00034_00004.png,18
00010_00017_00018,data\gtsrb\Train\10\00010_00017_00018.png,10
00010_00000_00021,data\gtsrb\Train\10\00010_00000_00021.png,10
00004_00036_00023,data\gtsrb\Train\4\00004_00036_00023.png,4
00033_00010_00025,data\gtsrb\Train\33\00033_00010_00025.png,33
00024_00004_00029,data\gtsrb\Train\24\00024_00004_00029.png,24
00010_00008_00012,data\gtsrb\Train\10\00010_00008_00012.png,10
00028_00012_00027,data\gtsrb\Train\28\00028_00012_00027.png,28
00006_00000_00019,data\gtsrb\Train\6\00006_00000_00019.png,6
00006_00011_00012,data\gtsrb\Train\6\00006_00011_00012.png,6
00003_00037_00024,data\gtsrb\Train\3\00003_00037_00024.png,3
00003_00027_00007,data\gtsrb\Train\3\00003_00027_00007.png,3
00028_00008_00023,data\gtsrb\Train\28\00028_00008_00023.png,28
00035_00023_00018,data\gtsrb\Train\35\00035_00023_00018.png,35
00004_00010_00008,data\gtsrb\Train\4\00004_00010_00008.png,4
00003_00044_00028,data\gtsrb\Train\3\00003_00044_00028.png,3
00011_00015_00024,data\gtsrb\Train\11\00011_00015_00024.png,11
00005_00001_00018,data\gtsrb\Train\5\00005_00001_00018.png,5
00020_00006_00020,data\gtsrb\Train\20\00020_00006_00020.png,20
00005_00025_00001,data\gtsrb\Train\5\00005_00025_00001.png,5
00017_00025_00002,data\gtsrb\Train\17\00017_00025_00002.png,17
00038_00063_00018,data\gtsrb\Train\38\00038_00063_00018.png,38
00004_00028_00024,data\gtsrb\Train\4\00004_00028_00024.png,4
00037_00000_00013,data\gtsrb\Train\37\00037_00000_00013.png,37
00022_00001_00000,data\gtsrb\Train\22\00022_00001_00000.png,22
00012_00003_00018,data\gtsrb\Train\12\00012_00003_00018.png,12
00013_00039_00026,data\gtsrb\Train\13\00013_00039_00026.png,13
00041_00000_00020,data\gtsrb\Train\41\00041_00000_00020.png,41
00002_00064_00015,data\gtsrb\Train\2\00002_00064_00015.png,2
00002_00010_00023,data\gtsrb\Train\2\00002_00010_00023.png,2
00002_00010_00022,data\gtsrb\Train\2\00002_00010_00022.png,2
00007_00039_00023,data\gtsrb\Train\7\00007_00039_00023.png,7
00007_00012_00003,data\gtsrb\Train\7\00007_00012_00003.png,7
00038_00057_00001,data\gtsrb\Train\38\00038_00057_00001.png,38
00002_00037_00000,data\gtsrb\Train\2\00002_00037_00000.png,2
00014_00018_00021,data\gtsrb\Train\14\00014_00018_00021.png,14
00033_00010_00002,data\gtsrb\Train\33\00033_00010_00002.png,33
00029_00002_00008,data\gtsrb\Train\29\00029_00002_00008.png,29
00002_00032_00014,data\gtsrb\Train\2\00002_00032_00014.png,2
00013_00049_00028,data\gtsrb\Train\13\00013_00049_00028.png,13
00014_00009_00004,data\gtsrb\Train\14\00014_00009_00004.png,14
00017_00012_00011,data\gtsrb\Train\17\00017_00012_00011.png,17
00038_00007_00026,data\gtsrb\Train\38\00038_00007_00026.png,38
00004_00053_00024,data\gtsrb\Train\4\00004_00053_00024.png,4
00033_00002_00005,data\gtsrb\Train\33\00033_00002_00005.png,33
00018_00007_00022,data\gtsrb\Train\18\00018_00007_00022.png,18
00025_00008_00018,data\gtsrb\Train\25\00025_00008_00018.png,25
